Amazon Unique id,Amazon Product name,Flipkart Unique id,Flipkart Product name,Similarity
dfa536b435f093dc6ad6f1d5094eb726,Belle Gambe Winter Boots,35eab2a05e269441bdcaf6a3bad1b546,Steppings Boots Boots,1.0000000000000002
62c35de4df27437d3597963fac55a8b6,"Franck Bella FB74C Analog Watch  - For Boys, Men",37d02e85eecd26fd35d72383f237c393,Kielz Ladies Boots,1.0000000000000002
33d97d63c037078cd3f08033966d6a88,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,62c35de4df27437d3597963fac55a8b6,"Franck Bella FB74C Analog Watch  - For Boys, Men",1.0000000000000002
38f76561c1a98d104bc1a84879a8ff47,Shuz Touch Boots,70a5697b744f4d9c643fb961bbe2da6d,Carlton London Boots,1.0000000000000002
92575fe20a9a1795c4e26c9299166122,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",38f76561c1a98d104bc1a84879a8ff47,Shuz Touch Boots,1.0000000000000002
fda7cf99231911725aee46d57ce8e6c3,Carlton London Boots,65fee026fb77433fdcc4ad8c2f6a0239,"Estilo 1056 Analog Watch  - For Boys, Men",1.0000000000000004
fda7cf99231911725aee46d57ce8e6c3,Carlton London Boots,92575fe20a9a1795c4e26c9299166122,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",1.0000000000000004
b7dc0087348ad77ccc09ab6a9c09d2da,Urban Country Ladies Boots,fda7cf99231911725aee46d57ce8e6c3,Carlton London Boots,1.0000000000000002
f74476ba64365d97a5be7d375cbf4c7a,Now SP-ETHNIC Analog Watch  - For Boys,d7ca2b06b4f4d3b98c61c377b18a2d6b,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1.0000000000000002
7ffa15f02724bcd799ca7d2ffb673a79,Get Glamr Designer Yuvu Boots,f74476ba64365d97a5be7d375cbf4c7a,Now SP-ETHNIC Analog Watch  - For Boys,1.0000000000000002
a55b4f633fcaee55344ac4aac13cbfa5,Belle Gambe Boots,7ffa15f02724bcd799ca7d2ffb673a79,Get Glamr Designer Yuvu Boots,1.0000000000000002
15848e0fa49ab6eabda6d965aedb4f6c,Remson India Boots,3dd037467871ed745e011096149c9fc6,Kielz Boots,1.0000000000000002
f0ddd7ea1e184721acac4cb9a21e77b3,Steppings Trendy Boots,a55b4f633fcaee55344ac4aac13cbfa5,Belle Gambe Boots,1.0000000000000002
b8785373140e7542e1fd524857f7e274,"Positif Pfbk612 Analog Watch  - For Men, Boys",324f32c19cf1fab802126f11ea1de785,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",1.0000000000000002
4b2c7a17ad687d238245e63b52c07721,Selfie Boots,0692381f01171e637f248c933550e478,Klaur Melbourne Boots,1.0000000000000002
69ca41aae61c7b5fecd53ea08fba3226,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",b8785373140e7542e1fd524857f7e274,"Positif Pfbk612 Analog Watch  - For Men, Boys",1.0000000000000002
fda50982a672ef8835de5c1cc86f8bfc,"Franck Bella FB127A Analog Watch  - For Boys, Men",69ca41aae61c7b5fecd53ea08fba3226,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",1.0000000000000002
88894166380fea0ef00618c9fe64154c,Get Glamr Stylish Boots,2385354f771d9e50ab86ec2425a3873b,Salt N Pepper 13-019 Femme Taupe Boots Boots,1.0000000000000002
f1c0ff9c0a038fe4164bb013a80de8ad,Steppings Trendy Boots,88894166380fea0ef00618c9fe64154c,Get Glamr Stylish Boots,1.0000000000000002
a6456e9e8f9a8ceaa2d68eee7a94c87d,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",4788f5466992da09024b8ffcc8a5cba4,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",1.0000000000000002
6712cb52a608a7cade6569880dc3f5b7,Steppings Trendy Boots,a6456e9e8f9a8ceaa2d68eee7a94c87d,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1.0000000000000002
fce3d01210868fa4f281b0e55d40b7a0,Remson India Boots,2a342edc6ce89cb5c6892be8c78c1af1,Sam Stefy Boots,1.0000000000000002
f5b56b74cab686a72d10d5fd212fb81e,"Jack Klein Goldjack Analog Watch  - For Boys, Men",fce3d01210868fa4f281b0e55d40b7a0,Remson India Boots,1.0000000000000004
653826cd53f1d9e2c086c0ac7846ef70,"fastrack 38015PL01 Analog Watch  - For Men, Boys",f5b56b74cab686a72d10d5fd212fb81e,"Jack Klein Goldjack Analog Watch  - For Boys, Men",1.0000000000000002
b79ed9e338cf028d849dae39f6c39ea7,Kielz Ladies Boots,a16cc763817964b2c77e56ecd218a6e8,Dearfoams Boots,1.0000000000000002
a5c993463f503760919728797dfbc83d,"A Avon PK_504 Analog Watch  - For Men, Boys",653826cd53f1d9e2c086c0ac7846ef70,"fastrack 38015PL01 Analog Watch  - For Men, Boys",1.0000000000000002
e0f0808a8985bf1de9449f7ff544bab6,Catwalk Boots,be0aa17665e9a27ef1ab0ce134e6aee5,Kielz Ladies Boots,1.0000000000000007
a51bbd403085e6558f8c279322d58997,Rialto Boots,22f01c289c956a7d29b15ea99d199963,"Franck Bella FB0122DD Analog Watch  - For Men, Boys",1.0000000000000002
fc69831b78bfcc3eb4bdd3afa1c9bdaf,Salt N Pepper 12-298 Taupe Boots,e0f0808a8985bf1de9449f7ff544bab6,Catwalk Boots,1.0000000000000002
3c74db45cbfc14a78b8466dca494b3bb,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",a51bbd403085e6558f8c279322d58997,Rialto Boots,1.0000000000000002
d6a4b62067d04cab8397e76e01656d0a,Magnum Footwear Lifestyle Boots,fc69831b78bfcc3eb4bdd3afa1c9bdaf,Salt N Pepper 12-298 Taupe Boots,1.0000000000000002
5f9f896bbba455cd8a5783568845b370,Steppings Trendy Boots,3c74db45cbfc14a78b8466dca494b3bb,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",1.0000000000000002
137f121c9d6bc7a57276601492659060,"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",d6a4b62067d04cab8397e76e01656d0a,Magnum Footwear Lifestyle Boots,1.0000000000000002
d6769423b5a242f243dfac15cf2c099b,Steppings Trendy Boots,5f9f896bbba455cd8a5783568845b370,Steppings Trendy Boots,1.0000000000000002
b0a058029072532046d05ac98ff1cae9,"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",c627c22b7509fbcda4f345a2c2d71765,"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",1.0000000000000002
4aa047f14885c74f155ce5f973e14dff,"Disney 98189 Analog Watch  - For Boys, Girls",b0a058029072532046d05ac98ff1cae9,"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",1.0000000000000002
3e8b8d026d02a3979ed49fb219862a18,Get Glamr Designer Snowra Boots,4620e6de2e02c35d401247a94825710b,J.D.H. 111-222 Boots,1.0000000000000002
feb1e09790d2e4ed3c7a2f340b29b5d2,"Lenco DCOMPASS2010 Quazi Analog-Digital Watch  - For Men, Boys",4aa047f14885c74f155ce5f973e14dff,"Disney 98189 Analog Watch  - For Boys, Girls",1.0000000000000002
